season_id,title,play_count,danmaku_count,coins,favorites,score,total_count,week,newest_ep_index,is_finish,area,arealimit,pub_time,season_status,copyright,tags,actor
21674,三丽鸥男子,1391267,37429,2546,165221,8.9,12,6,11,1,日本,0,2018-01-06 22:30:00,2,dujia,原创,江口拓也 斉藤壮馬 大須賀純 花倉洸幸 内田雄馬
23677,Thunderbolt Fantasy 东离剑游纪 生死一剑,385152,14105,6271,30369,9.7,1,-1,1,2,日本,0,2017-12-02 00:00:01,2,dujia,奇幻 战斗,凜雪鴉（リンセツア）	鳥海 浩輔 殤不患（ショウフカン）	諏訪部 順一 殺無生（セツムショウ）	檜山 修之 千葉 一伸 安元 洋貴 大川 透 戸松 遥 小山 力也 西川 貴教 小西 克幸 鶴岡 聡 高垣 彩陽 新垣 樽助 速水 奨 黄 文擇
3888,蜡笔小新 呼风唤雨！会唱歌的屁股炸弹,43741,1744,134,1851,,1,6,1,2,日本,0,2007-04-21 00:00:01,2,bilibili,少儿 搞笑 萌系,矢岛晶子 楢桥美纪 藤原启治 真柴摩利 林玉绪
4934,网球王子 全国大会篇,243890,11885,540,9622,9.4,26,-1,26,2,日本,0,2006-03-24 00:00:01,2,bilibili,运动,皆川純子 置鮎龍太郎 近藤孝行 甲斐田ゆき 高橋広樹 津田健次郎 川本成 小野坂昌也 喜安浩平
3811,高智能方程式：SIN,371179,9871,472,7007,,5,-1,5,2,日本,0,1998-12-21 00:00:01,2,ugc,热血 运动 时泪,三石琴乃 関俊彦 金丸淳一 天野由梨 池田秀一 私市淳 久川綾 カール・リヒター・フォン・ラン..
6446,干物妹！小埋R,50137821,1056202,278329,2978288,9.4,12,0,12,2,日本,0,2017-10-08 23:30:00,2,dujia,日常 搞笑 萌系 漫改,田中爱美 野岛健儿 影山灯 白石晴香 古川由利奈 安元洋贵 柿原彻也 小清水亚美
3871,蜡笔小新之云黑斋的野心,46470,1691,179,2122,,1,6,1,2,日本,0,1995-04-15 00:00:01,2,bilibili,少儿 萌系 时泪,矢岛晶子 楢桥美纪 藤原启治 真柴摩利 林玉绪
22504,卫宫家今天的饭,6475946,142207,51052,1102849,9.8,0,-1,3,1,日本,0,2018-01-01 00:00:00,2,dujia,日常,杉山紀彰 川澄綾子 植田佳奈 下屋則子 浅川 悠 門脇舞以 伊藤美紀
6441,动画同好会,2953957,86535,11944,292622,8.5,13,0,12,2,日本,0,2017-10-08 22:30:00,2,bilibili,日常 搞笑 校园 社团 原创,本渡枫 千本木彩花 东城日沙子 高桥李依 寺岛惇太 伊波杏树 西明日香 高木美佑 花泽香菜
6308,妖怪公寓的幽雅日常,14049561,276579,29302,620480,9.0,26,1,26,2,日本,0,2017-07-03 22:30:00,2,bilibili,日常 神魔,阿部敦 中村悠一 沢城みゆき 石田彰 中井和哉 森川智之 杉田智和 速水奨 遊佐浩二
22843,百變小櫻Clear咭（僅限港澳地區）,284216,11851,856,33063,9.6,0,0,11,1,日本,0,2018-01-07 09:00:00,2,bilibili,少女 魔法 漫改,丹下櫻 久川綾 岩男潤子 熊井統子 緒方恵美 關智一 佐佐木望 篠原恵美 鈴木實里
21754,續 刀劍亂舞 -花丸-（僅限港澳台地區）,264789,18282,1461,168637,9.5,12,1,11,1,日本,0,2018-01-08 00:00:00,2,bilibili,日常 游戏改,市來光弘 増田俊樹 新垣樽助 山下大輝 入江玲於奈 間島淳司 興津和幸 賓健人 齊藤壯馬
21720,小木乃伊到我家,13370370,230820,33296,1256640,9.7,12,5,10,1,日本,0,2018-01-12 15:00:00,2,dujia,漫改,田村睦心 河本启佑 茜屋日海夏 茅野爱衣 山下诚一郎
6454,Classica Loid 第二季,645592,19468,2263,42640,8.8,25,6,24,1,日本,0,2017-10-07 19:00:00,2,dujia,原创,杉田智和 梶裕贵 小松未可子 岛崎信长 鸟海浩辅 能登麻美子 前野智昭
2612,科学小飞侠Crowds insight,12327,677,173,11664,,12,3,12,2,日本,0,2015-07-05 00:00:01,2,bilibili,热血 科幻,内田真礼 逢坂良太 浪川大輔 細見大輔 小岩井ことり 平野綾 石原夏織 森功至 村瀬歩
5707,精灵宝可梦 日月,23588415,553903,58609,327845,9.6,22,4,66,1,日本,0,2016-11-17 00:00:01,2,ugc,治愈 游戏改,武隈史子 上田麗奈 大谷育江 松本梨香 真堂圭 石川界人 菊地瞳 中川慶一
6500,怪物弹珠 第二季 后篇,236290,1558,471,12422,,13,6,13,2,日本,0,2017-10-07 19:00:00,2,bilibili,奇幻 战斗,小林裕介 金元寿子 Lynn 河西健吾 木村珠莉 福岛润
21781,飙速宅男 GLORY LINE,383956,7841,1817,79272,9.5,25,2,11,1,日本,0,2018-01-09 02:05:00,13,bilibili,热血,山下大辉 鸟海浩辅 福岛润 安元洋贵 森久保祥太郎 伊藤健太郎 岸尾大辅 松冈祯丞 诹访彩花 潘惠美 诹访部顺一 宫田幸季 堀内贤雄
6433,Love Live! Sunshine!! 第二季,2873077,121673,19488,285425,9.3,13,6,13,2,日本,0,2017-10-07 23:30:00,2,bilibili,音乐 校园 偶像 社团 原创,伊波杏树 逢田梨香子 齐藤朱夏 小林爱香 高槻加奈子 降幡爱 小宫有纱 铃木爱奈 诹访七香
21728,爱吃拉面的小泉同学,10070767,231075,32313,895145,9.2,12,4,11,1,日本,0,2018-01-04 19:00:00,2,bilibili,百合 治愈 美食 漫改,竹达彩奈 佐仓绫音 鬼头明里 原由实
21749,打工小哥,903219,5459,2219,82625,9.5,12,5,11,1,日本,0,2018-01-05 20:54:00,2,dujia,原创,
22288,独自生活的小学生,382124,2180,3022,9911,9.6,10,-1,10,2,日本,0,2017-10-10 00:00:01,2,ugc,泡面,田中美海 森嶋秀太 三森すずこ 高橋伸也 伏見はる香 坂本頼光
21769,博多豚骨拉面团,9924083,208847,43100,1004774,9.7,12,5,10,1,日本,0,2018-01-12 23:00:00,2,dujia,轻改,小野大輔 梶裕貴 小林裕介 小野賢章 浪川大輔 悠木碧 中村悠一
23775,网球王子 过去和未来的信息,39060,908,116,1779,,4,-1,4,2,日本,0,2009-05-26 20:09:00,2,bilibili,漫改,木内秀信 保志総一朗 うえだゆうじ 岩崎征実 増田裕生 中村太亮 大須賀純 熊渕卓 荒木宏文
